0x401000
61	11192	
62	10249	
63	13392	

0x603000
0	19196	0	
1	19308	0	
2	19308	0	
3	19308	0	

0x7f15ec511000

0x7f15ee725000

0x7f1607faa000
0	325	0	
3	18648	
37	14939	0	
38	2264	0	
44	25979	
52	590	0	
54	20836	
55	17348	0	
56	13590	0	

0x7fff0f32f000
27	11579	0	
28	11606	0	
29	11606	0	
30	11606	0	
31	25432	0	
32	11459	0	
33	11917	0	
34	11920	0	
35	11471	0	
36	11503	0	
60	25702	
61	25674	
62	25674	
63	25674	

0x7fff0f330000
0	25653	
1	25623	
2	25605	
3	25603	
4	25599	

0x7fff0f331000
19	14596	14559	
21	25466	
23	25458	
24	25458	
26	25443	
27	25443	23286	
29	25339	
49	25339	
50	25339	
55	25339	
56	25339	
57	25339	
58	25339	
59	25339	
60	25339	
61	25339	
62	25339	

0x7fff0f3fe000
0	24616	
1	24594	
2	24555	
3	24555	
4	24337	
5	16939	
7	16939	
8	16939	
9	17047	
10	24323	
11	18779	
12	24127	
19	24534	
20	24513	
21	24499	

